intensity,dens0,dens1,delta,treeid,method
-10.7,0.09130090629175656,0.079775165771331,-0.01152574052042557,A-04-6978,manual clip
-10.5,0.0916095393016901,0.07816502481080803,-0.01344451449088206,A-04-6978,manual clip
-10.3,0.08432943124382765,0.07899449136622928,-0.00533493987759836,A-04-6978,manual clip
-10.1,0.09237204438505814,0.08031187942483842,-0.01206016496021972,A-04-6978,manual clip
-9.9,0.09462324986928432,0.0835809534962011,-0.01104229637308323,A-04-6978,manual clip
-9.7,0.09605748562133304,0.08265390264014355,-0.0134035829811895,A-04-6978,manual clip
-9.5,0.09912566083773838,0.08187322823504112,-0.017252432602697262,A-04-6978,manual clip
-9.3,0.09445985592284936,0.08097057345414299,-0.01348928246870635,A-04-6978,manual clip
-9.1,0.09700153953407344,0.08128772243121556,-0.01571381710285788,A-04-6978,manual clip
-8.899999999999999,0.10157657003427586,0.0851423023064045,-0.01643426772787136,A-04-6978,manual clip
-8.7,0.09787297391506455,0.08131211850637499,-0.01656085540868956,A-04-6978,manual clip
-8.5,0.09179108813106324,0.0792628481929823,-0.01252823993808094,A-04-6978,manual clip
-8.299999999999999,0.09173662348225212,0.08228796151275213,-0.00944866196949999,A-04-6978,manual clip
-8.1,0.08423865682914107,0.0827758830159407,-0.00146277381320036,A-04-6978,manual clip
-7.9,0.07563324231685313,0.08409327107454909,0.00846002875769595,A-04-6978,manual clip
-7.699999999999999,0.06926087840585629,0.08182443608472299,0.0125635576788667,A-04-6978,manual clip
-7.499999999999999,0.05836794864346683,0.07738435040570632,0.01901640176223949,A-04-6978,manual clip
-7.299999999999999,0.05154171265903696,0.07782347975857672,0.02628176709953975,A-04-6978,manual clip
-7.1,0.0446428571428573,0.07550585261843103,0.03086299547557372,A-04-6978,manual clip
-6.8999999999999995,0.03932347644222369,0.07733555825538747,0.03801208181316378,A-04-6978,manual clip
-6.699999999999999,0.03316897112647429,0.06762592034193564,0.03445694921546134,A-04-6978,manual clip
-6.499999999999999,0.02979216290013345,0.07050465721074757,0.04071249431061411,A-04-6978,manual clip
-6.299999999999999,0.02933829082670085,0.06796746539416763,0.03862917456746678,A-04-6978,manual clip
-6.1,0.02763173183059325,0.0667476616361962,0.03911592980560295,A-04-6978,manual clip
-5.8999999999999995,0.03055466798350067,0.0637957365419048,0.03324106855840413,A-04-6978,manual clip
-5.699999999999999,0.03215229768198466,0.06096579182341167,0.02881349414142701,A-04-6978,manual clip
-5.499999999999999,0.03320528089234863,0.05596459641572834,0.02275931552337971,A-04-6978,manual clip
-5.299999999999999,0.03638238540637903,0.05379334572653971,0.01741096032016068,A-04-6978,manual clip
-5.1,0.04117527450183016,0.05013393445262544,0.00895865995079528,A-04-6978,manual clip
-4.8999999999999995,0.04391666182536431,0.04476679791755079,8.501360921864751e-4,A-04-6978,manual clip
-4.699999999999999,0.04789258118863666,0.04427887641436261,-0.00361370477427405,A-04-6978,manual clip
-4.499999999999999,0.05195927496659473,0.04552307624749306,-0.00643619871910167,A-04-6978,manual clip
-4.299999999999999,0.05502745018300142,0.04459602539143519,-0.01043142479156623,A-04-6978,manual clip
-4.1,0.05740573984778967,0.04625495850227632,-0.01115078134551334,A-04-6978,manual clip
-3.9,0.05584441991518059,0.05220760084117686,-0.00363681907400373,A-04-6978,manual clip
-3.6999999999999993,0.05308487770870777,0.05025591482842169,-0.00282896288028608,A-04-6978,manual clip
-3.4999999999999982,0.05283070934758632,0.05252474981824943,-3.059595293368883e-4,A-04-6978,manual clip
-3.299999999999999,0.04992592807761593,0.0549887534093517,0.00506282533173576,A-04-6978,manual clip
-3.0999999999999996,0.04380773252774082,0.05820903533039626,0.01440130280265544,A-04-6978,manual clip
-2.9000000000000004,0.04230087724394368,0.0591116901112951,0.01681081286735142,A-04-6978,manual clip
-2.6999999999999993,0.03741721373380531,0.05713560802338039,0.01971839428957508,A-04-6978,manual clip
-2.4999999999999982,0.03286033811653994,0.051475718586394,0.01861538046985406,A-04-6978,manual clip
-2.299999999999999,0.0291567419973277,0.0413513473952312,0.01219460539790349,A-04-6978,manual clip
-2.0999999999999996,0.02469064079474824,0.03069026255056097,0.00599962175581273,A-04-6978,manual clip
-1.9000000000000004,0.02029715912391804,0.02481080843713872,0.00451364931322068,A-04-6978,manual clip
-1.6999999999999993,0.01532272119909349,0.01961444442818011,0.00429172322908662,A-04-6978,manual clip
-1.4999999999999982,0.01129233718700985,0.01207605720391707,7.837200169072186e-4,A-04-6978,manual clip
-1.299999999999999,0.00856910474641262,0.00824587340388681,-3.232313425258135e-4,A-04-6978,manual clip
-1.0999999999999996,0.00539200023238252,0.00487921503188568,-5.127852004968335e-4,A-04-6978,manual clip
-0.8999999999999986,0.0033768082263405,0.00319588584588506,-1.8092238045543975e-4,A-04-6978,manual clip
-0.6999999999999975,0.00179733341079417,0.00185410171211656,5.676830132238784e-5,A-04-6978,manual clip
-0.4999999999999982,0.00116191250798815,9.514469312177092e-4,-2.1046557677044343e-4,A-04-6978,manual clip
-0.29999999999999893,5.628013710567614e-4,4.879215031885688e-4,-7.487986786819265e-5,A-04-6978,manual clip
-0.09999999999999964,1.9970371231046373e-4,1.219803757971422e-4,-7.772333651332154e-5,A-04-6978,manual clip
-19.9,0.03697407564810892,0.02203478178458047,-0.01493929386352845,A-04-6982,manual clip
